pair_number,origin_port,origin_country,origin_lat,origin_lon,destination_port,destination_country,dest_lat,dest_lon,distance_nm,distance_km,duration_hours,status
1,Bluff,New Zealand,-46.61667,168.36667,Alanya,Turkey,36.53333,32.0,9319.655560885081,17260.00209875917,388.31898170354503,success
2,Abonnema,Nigeria,4.73333,6.76667,Bridport (Aus),Australia,-41.010088,147.401821,8413.226535478014,15581.295543705282,350.55110564491724,success
3,Arlington,United States,45.71667,-120.18333,Aqaba,Jordan,29.51667,35.01667,10925.814472916314,20234.608403841015,455.2422697048464,success
4,Antalya,Turkey,36.83333,30.61667,Alloa,United Kingdom,56.1,-3.8,3482.6492358148,6449.86638472901,145.11038482561665,success
5,Bridgeport (Connecticut),United States,41.15,-73.18333,Akutan,United States,54.13333,-165.75,7421.127336934771,13743.927828003196,309.21363903894877,success
6,Boothbay Harbor,United States,43.83333,-69.65,Bridlington,United Kingdom,54.08333,-0.18333,3041.6175849730726,5633.075767370131,126.73406604054469,success
7,Cam Pha,Vietnam,21.01667,107.36667,Bella Coola,Canada,52.376311,-126.793785,6198.510153103857,11479.640803548344,258.2712563793274,success
8,Akcay,Turkey,39.58333,26.9,Bethel,United States,60.8,-161.76667,11725.168833385036,21715.012679429088,488.54870139104315,success
9,Bandar-E Lengeh,Iran,26.55,54.88333,Abu Kir,Egypt,31.3,30.06667,3128.705037792468,5794.3617299916505,130.3627099080195,success
10,Abu Ghosoun,Egypt,24.452858,35.206064,Akko,Israel,32.91667,35.06667,694.8985135149028,1286.9520470296,28.954104729787616,success
11,Annay Sous Lens,France,50.46667,2.86667,Antwerp,Belgium,51.24472,4.41139,83.79684235134556,155.19175203469197,3.4915350979727315,success
12,Bayside,Canada,45.159313,-67.142066,Biawak,Malaysia,1.55,110.4,10463.30207135508,19378.035436149607,435.970919639795,success
13,Abu Al Bukhoosh,United Arab Emirates,25.46667,53.08333,Benguela,Angola,-12.58333,13.4,6146.709515247379,11383.706022238148,256.1128964686408,success
14,Andoany,Madagascar,-13.4,48.28333,Bratislava,Slovakia,48.13633,17.134989,4791.491225589126,8873.841749791061,199.64546773288023,success
15,Bogo,Philippines,11.05,124.0,Bourg,United States,29.55,-90.6,10614.448179320176,19657.958028100966,442.26867413834066,success
16,Bella Coola,Canada,52.376311,-126.793785,Bandar Seri Begawan,Brunei Darussalam,4.9,114.93333,6589.786484806484,12204.28456986161,274.5744368669368,success
17,Anoa Natuna,Indonesia,5.23333,105.6,Barents Island,Svalbard And Jan Mayen,78.58333,21.83333,9857.232827531607,18255.595196588536,410.7180344804836,success
18,Berwick-Upon-Tweed,United Kingdom,55.76667,-2.0,Arroyo Barril,Dominican Republic,19.2,-69.43333,3833.9890025052136,7100.547632639656,159.74954177105056,success
19,Burevestnik,Russian Federation,44.95,147.61667,Cairo,Egypt,30.05,31.25,8531.780504357512,15800.857494070113,355.4908543482297,success
20,Aalesund,Norway,62.46667,6.16667,Brohl,Germany,50.490154,7.323963,667.5362719580127,1236.2771756662396,27.81401133158386,success
21,Burcht,Belgium,51.2,4.33333,Amal,Sweden,59.05,12.71667,541.0566792942132,1002.0369700528828,22.544028303925547,success
22,Bou Grara,Tunisia,33.5,10.66667,Bandar-E Lengeh,Iran,26.55,54.88333,4090.4957602753984,7575.598148030038,170.43732334480828,success
23,Ayr,United Kingdom,55.46667,-4.63333,Arroyo Barril,Dominican Republic,19.2,-69.43333,3748.807051573486,6942.790659514097,156.20029381556193,success
24,Alvarado,Mexico,18.76667,-95.76667,Annan,United Kingdom,54.98333,-3.26667,4863.111942897157,9006.483318245535,202.62966428738153,success
25,Caripito,Venezuela,10.15,-63.03333,Broome,Australia,-17.96194,122.23361,11108.25211521584,20572.482917379737,462.84383813399336,success
26,Axelsvik,Sweden,65.76667,23.38333,Akutan,United States,54.13333,-165.75,11411.668763899623,21134.4105507421,475.48619849581763,success
27,Akkeshi,Japan,43.05,144.85,Balakhna,Russian Federation,56.48333,43.61667,10204.781905993024,18899.25608989908,425.1992460830427,success
28,Akrehamn,Norway,59.253015,5.174617,Bagfas-Iskur Fertilizer Jetty,Turkey,40.4,28.53333,3594.964097670393,6657.873508885568,149.7901707362664,success
